wo_plano_drive_1;wo_plano_drive_2;wo_plano_mean
-0,186;-0,843;-0,5145
-0,422;-1,102;-0,762
-0,691;-1,242;-0,9665
-0,814;-1,112;-0,963
-0,749;-1,138;-0,9435
-0,792;-1,26;-1,026
-0,734;-1,812;-1,273
-1,113;-1,687;-1,4
-1,081;-1,512;-1,2965
-1,022;-1,217;-1,1195
-0,799;-1,285;-1,042
-0,801;-1,223;-1,012
-0,953;-1,154;-1,0535
-1,246;-1,254;-1,25
-1,039;-1,315;-1,177
-1,065;-0,914;-0,9895
-0,827;-0,822;-0,8245
-0,602;-0,544;-0,573
-0,49;-0,463;-0,4765
-0,451;-0,615;-0,533
-0,245;-0,413;-0,329
0;-0,136;-0,068
-0,03;0;-0,015
0;-0,001;-0,0005
-0,419;-0,078;-0,2485
-0,353;-0,302;-0,3275
-0,393;-0,433;-0,413
-0,225;-0,459;-0,342
-0,571;-0,88;-0,7255
-0,859;-1,054;-0,9565
-0,88;-1,15;-1,015
-0,304;-0,994;-0,649
-0,101;-1,012;-0,5565
-0,191;-1,22;-0,7055
0;-1,328;-0,664
-0,127;-1,094;-0,6105
-0,573;-1,314;-0,9435
-0,772;-1,493;-1,1325
-0,838;-1,756;-1,297
-1,137;-1,923;-1,53
-1,384;-1,913;-1,6485
-1,132;-2,078;-1,605
-1,09;-1,855;-1,4725
-0,83;-1,673;-1,2515
-0,871;-1,361;-1,116
-0,995;-1,276;-1,1355
-0,592;-0,877;-0,7345
-0,378;-0,997;-0,6875
-0,274;-0,593;-0,4335
-0,288;-0,342;-0,315
-0,084;-0,22;-0,152
-0,262;-0,707;-0,4845
-0,432;-0,743;-0,5875
-0,609;-0,565;-0,587
-0,572;-0,744;-0,658
-0,339;-0,85;-0,5945
-0,858;-1,407;-1,1325
-0,55;-1,443;-0,9965
-0,646;-1,364;-1,005
-0,417;-1,107;-0,762
-0,331;-0,829;-0,58
0;-0,58;-0,29
0;-0,571;-0,2855
-0,003;-0,491;-0,247
-0,053;-0,38;-0,2165
0;-0,191;-0,0955
-0,229;-0,171;-0,2
-0,24;0;-0,12
-0,197;-0,219;-0,208
0;-0,433;-0,2165
-0,26;-0,422;-0,341
-0,322;-0,302;-0,312
0;-0,238;-0,119
-0,094;-0,277;-0,1855
0;-0,349;-0,1745
-0,114;-0,499;-0,3065
-0,028;-0,735;-0,3815
-0,367;-0,796;-0,5815
-0,18;-1,013;-0,5965
-0,418;-1,214;-0,816
-0,531;-1,225;-0,878
-0,691;-1,13;-0,9105
-0,672;-1,375;-1,0235
-0,719;-1,324;-1,0215
-0,708;-1,33;-1,019
-0,897;-1,166;-1,0315
-0,542;-1,361;-0,9515
-0,692;-1,504;-1,098
-1,088;-1,195;-1,1415
-0,904;-1,085;-0,9945
-0,902;-1,021;-0,9615
-1,113;-1,321;-1,217
-0,956;-1,283;-1,1195
-0,632;-0,919;-0,7755
-0,061;-0,823;-0,442
-0,052;-0,836;-0,444
-0,339;-0,679;-0,509
-0,233;-0,704;-0,4685
-0,311;-0,375;-0,343
-0,451;-0,435;-0,443
-0,311;-0,559;-0,435
-0,604;-0,694;-0,649
-0,637;-0,708;-0,6725
-0,545;-0,77;-0,6575
